2011-04-05 08:05:40 Warning: Warning (2): Missing argument 1 for UsersController::update_profile() in [/Library/WebServer/Documents/4227/api/app/controllers/users_controller.php, line 64]
2011-04-11 13:14:38 Warning: Warning (2): Missing argument 1 for VideosController::get_video_details() in [/Library/WebServer/Documents/4227/api/app/controllers/videos_controller.php, line 42]
2011-04-11 13:14:40 Warning: Warning (2): Missing argument 1 for VideosController::get_video_details() in [/Library/WebServer/Documents/4227/api/app/controllers/videos_controller.php, line 42]
2011-04-11 13:14:41 Warning: Warning (2): Missing argument 1 for VideosController::get_video_details() in [/Library/WebServer/Documents/4227/api/app/controllers/videos_controller.php, line 42]
2011-04-11 16:29:47 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:07 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:09 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:29 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:32 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:34 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:39 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-11 16:30:50 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.status' in 'where clause'</span> in [/Users/rasheilla/Localhost/4227/api/cake/libs/model/datasources/dbo_source.php, line 684]
